year,sport,gender,,recognition_type,athlete name,school,selector,class,position,story
2026,basketball,boys,,honorable_mention_all_state,Aaron Whitaker,William Penn,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/mason-collins-of-tatnall-leads-all-state-boys-basketball-team/89235851007/
2026,basketball,girls,,player_of_the_year,Amalia Fruchtman,Cape Henlopen,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,first_team_all_state,Amalia Fruchtman,Cape Henlopen,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,first_team_all_state,Amoree Anderson,Ursuline,DSBA,fr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,first_team_all_state,Skylar Bolden,St. Elizabeth,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,first_team_all_state,Amiyah Ellerbe,Smyrna,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,first_team_all_state,Bridget Malloy,Archmere,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,second_team_all_state,Asia Adams,Sanford,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,second_team_all_state,Naiya Murphy,Ursuline,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,second_team_all_state,Tori Richardson,Odessa,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,second_team_all_state,Za'Mylah Seda-Owens,St. Elizabeth,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,second_team_all_state,Brycelyn Stryckning,Caravel,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,third_team_all_state,Marshay Brown,Early College,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,third_team_all_state,Lilianna DiMarco,Padua,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,third_team_all_state,Aslyn Merrell,Sanford,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,third_team_all_state,Kennedi Miller,Howard,DSBA,fr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,third_team_all_state,Divya Savage,Smyrna,DSBA,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Naomi Allen,Sanford,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Jordan Cooke,Tatnall,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Gianna Cottone,Wilmington Friends,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Tatiyanna Davis,Caesar Rodney,DSBA,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Kai Dwirantwi,Padua,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Angelena Gabrysh,Concord,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Amira Green,Concord,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,basketball,girls,,honorable_mention_all_state,Ha'Lena Griffin,Howard,DSBA,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/20/cape-henlopen-senior-is-delaware-girls-basketball-player-of-the-year/89231638007/
2026,swimming,boys,,swimmer_of_the_year,Grady Redding,Appoquinimink,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Grady Redding,Appoquinimink,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Aidan Walsh,Saint Mark's,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Jamie Brinsfield,Tower Hill,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Blake Erkenbrecher,Tower Hill,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Tim Hanway,Salesianum,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Xiaomiao Hu,Charter of Wilmington,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Dylan Ristenbatt,Salesianum,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Ethan Chipriano,Mt. Sophia Academy,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Bradley Woolpert,Salesianum,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Ian Chan,Salesianum,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Emery Hess,Salesianum,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Jaxen Edwards,Cape Henlopen,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Brady Schell,Cape Henlopen,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,Aaron Markey,Charter of Wilmington,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,first_team_all_state,James Beukema,Newark Charter,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Benjamin Kelly,Christiana,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Will Ciecko,Brandywine,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Emil Lehmann,Charter of Wilmington,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Jacob Madden,Polytech,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Jackson Bluemle,Brandywine,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Daniel Zhu,St. Andrew's,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Seamus Walstrom,Salesianum,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Adam Bibi,Conrad,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Finn McHugh,Newark Charter,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Christian Wright,Sussex Academy,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Zachary Correa,Newark Charter,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Quincy Young,Caravel,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Andrew Konkle,Charter of Wilmington,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Abram Webster,Conrad,Coaches association,8th,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,second_team_all_state,Jake Shelton,Conrad,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,James Moen,Charter of Wilmington,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Rex Haigh,Saint Mark's,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Mark Rigor,Newark Charter,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Cameron Mathias,Newark Charter,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Cael McDonnell,Wilmington Friends,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Brady Lewis,Salesianum,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Jonathan Belair,Sanford,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Colin Root,Brandywine,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Henry Nelson,Brandywine,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Jack Bain,Cape Henlopen,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Doug Morrow,Salesianum,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Eric Lewis,Caesar Rodney,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Grayson Bucksner,Saint Mark's,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,Jaiden Edric Canlas,Saint Mark's,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,boys,,honorable_mention_all_state,James Carroll,Newark Charter,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/18/delaware-2026-all-state-swim-teams-led-by-grady-redding-aidan-walsh/89081043007/
2026,swimming,girls,,swimmer_of_the_year,Payton Garnsey,Caesar Rodney,Coaches association,fr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Payton Garnsey,Caesar Rodney,Coaches association,fr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Annika Jorgensen,Tower Hill,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Anna Mumford,Sussex Academy,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Anna Karanjia,Conrad,Coaches association,8th,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Mia Devlin,Ursuline,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Mia Jaoude,Cape Henlopen,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Kylie Poole,Wilmington Friends,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Kylie Perkins,Mount Pleasant,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Abby Dilworth,Charter of Wilmington,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Alaina Hoffman,Ursuline,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Analiese Waid,Concord,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Morgan Kalish,Sanford,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Brinkley Minter,Sanford,Coaches association,fr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Samantha Weinert,Ursuline,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,first_team_all_state,Sophia Witkowski,Padua,Coaches association,fr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,second_team_all_state,Taylor Aiello,Ursuline,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,second_team_all_state,McKinley Jefferson,Ursuline,Coaches association,sr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,second_team_all_state,Alexa Acosta,Wilmington Christian,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,second_team_all_state,Eva Jimenez,Charter of Wilmington,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,second_team_all_state,Ellie Romano,Wilmington Friends,Coaches association,so.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
2026,swimming,girls,,second_team_all_state,Andie Kiess,Middletown,Coaches association,jr.,,https://www.delawareonline.com/story/sports/high-school/2026/03/17/delaware-2026-all-state-swim-teams-led-by-payton-garnsey-annika-jorgensen/89081589007/
